Variable,Instrument,Coefficient,Std Error,P-value
s1,transport,0.15264090267853228,0.16910152980089216,0.366707264206523
s1,World GVC,-0.008516337294974244,0.018513265238477017,0.6455070982466968
s2,transport,-0.5850713606622865,1.355935636460498,0.6661128229909719
s2,World GVC,0.014796698388218881,0.02664197983396227,0.5786276946936555
s6,transport,0.10522512388540499,0.10779861512870412,0.32900160140872226
s6,World GVC,0.01142934799073807,0.011977038308982536,0.33994615953905516
s10,transport,0.06188650695009368,0.05420230256109705,0.253550065316706
s10,World GVC,0.005112445045429078,0.015835310388622056,0.746808122802614
s1,transport,0.20190852131026024,0.2780021107182111,0.46766460578897906
s1,World GVC,-0.0051310824662104525,0.018230076340771832,0.7783557032444559
s2,transport,-0.2313117881611564,0.31967323443980394,0.46931857276085376
s2,World GVC,0.006599616051579187,0.027460210341153427,0.8100715124287843
s6,transport,0.47667813612413173,1.206149579028826,0.6926905067251763
s6,World GVC,0.01914427390965245,0.014152249444966677,0.17613961023198765
s10,transport,0.12624358492650375,0.13890118777972296,0.3634169937484715
s10,World GVC,0.011184415710664952,0.021998381094336335,0.6111588681860898
s1,transport,0.15156224438402033,0.1675463409349995,0.36567789086532443
s1,World GVC,-0.011029488764255956,0.018306249634494287,0.5468423315938791
s2,transport,-0.5776730114782971,1.324841410013815,0.6628136429128229
s2,World GVC,0.027829627949130024,0.027344593905199433,0.3088025591606922
s6,transport,0.10513785686069005,0.1078539918195637,0.32965126317228877
s6,World GVC,0.0145414516841466,0.012106888129719537,0.2297166305960654
s10,transport,0.06177754098930957,0.05418149998971358,0.25420456574861117
s10,World GVC,0.014454558817391765,0.016869201965756336,0.39152178887985367
