Variable,Instrument,Coefficient,Std Error,P-value
s1,transport,-0.1635245940097926,0.23887428470277228,0.4936194653524084
s1,World GVC,-0.01205621414894826,0.02135638614100608,0.5723968827043289
s2,transport,-0.12726011711105023,0.14192605349109985,0.3698977309365874
s2,World GVC,-0.040486641747967345,0.033837874658710826,0.23150582397712482
s6,transport,0.07652596715653628,0.0811599559657105,0.3457305127453889
s6,World GVC,-0.0013448248613549792,0.07329142771071909,0.985360432742441
s10,transport,0.1085454610746728,0.11289752826916885,0.33632536434058524
s10,World GVC,-0.01403890950821315,0.02473249386808251,0.5702861218490995
s1,transport,-0.06425394128086807,0.07150259724812909,0.36885303527437285
s1,World GVC,-0.006834618326499652,0.023567052141280867,0.7718106150434922
s2,transport,-0.09054067376325761,0.10621327496555374,0.3939687275238706
s2,World GVC,-0.023652284811105987,0.030165280619451115,0.43298749857412755
s6,transport,0.11018476841250581,0.13983360267350578,0.4307139004535041
s6,World GVC,-0.012781637049705802,0.08173895918045603,0.8757402642088856
s10,transport,0.2845604623631573,0.5727467818399122,0.619305639321829
s10,World GVC,-0.0025109357159402907,0.021083394288259966,0.9051997585481208
s1,transport,-0.16293410075454706,0.2376905721571061,0.49303585571477004
s1,World GVC,-0.015374058843784262,0.022041552601517682,0.4854877850250665
s2,transport,-0.1268177609961458,0.14125834127847042,0.3693072003383513
s2,World GVC,-0.037451010954240874,0.03326531873552765,0.26023853749076364
s6,transport,0.07626799302278461,0.08090788658453936,0.34585885730669363
s6,World GVC,-0.0038603917885453934,0.0729815259627631,0.9578151973488089
s10,transport,0.10828247692700133,0.1126980143732446,0.3366428111468438
s10,World GVC,-0.016033181701042246,0.025219429306789786,0.5249412032618472
