gvc_type,outcome,treatment,instrument,tau_hat,std_hat,p_val,fixed_effects,stationary_controls
backward,onset2COWCS,treat_fuel,iv_transport,0.1602,0.2904,0.5811,True,True
backward,onset2COWCS,treat_fuel,iv_transport,0.218,0.4506,0.6285,True,False
backward,onset2COWCS,treat_fuel,iv_transport,1.1737,2.9144,0.6872,False,True
backward,onset2COWCS,treat_fuel,iv_transport,0.3524,0.4707,0.4541,False,False
backward,onset2COWCS,treat_fuel,iv_fuel,-0.0299,0.3187,0.9253,True,True
backward,onset2COWCS,treat_fuel,iv_fuel,0.0297,0.3083,0.9234,True,False
backward,onset2COWCS,treat_fuel,iv_fuel,-0.0312,0.3042,0.9184,False,True
backward,onset2COWCS,treat_fuel,iv_fuel,-0.0419,0.3746,0.911,False,False
backward,onset2COWCS,treat_agri,iv_transport,0.0265,0.221,0.9046,True,True
backward,onset2COWCS,treat_agri,iv_transport,0.0106,0.1659,0.9491,True,False
backward,onset2COWCS,treat_agri,iv_transport,0.0319,0.1688,0.8499,False,True
backward,onset2COWCS,treat_agri,iv_transport,0.0639,0.1776,0.719,False,False
backward,onset2COWCS,treat_agri,iv_agri,-0.0292,0.0262,0.266,True,True
backward,onset2COWCS,treat_agri,iv_agri,-0.0338,0.0251,0.1777,True,False
backward,onset2COWCS,treat_agri,iv_agri,-0.0278,0.027,0.3023,False,True
backward,onset2COWCS,treat_agri,iv_agri,-0.029,0.0278,0.2968,False,False
backward,onset2COWCS,treat_metal,iv_transport,-0.0592,0.1782,0.7396,True,True
backward,onset2COWCS,treat_metal,iv_transport,-0.0736,0.2862,0.797,True,False
backward,onset2COWCS,treat_metal,iv_transport,0.0306,0.3006,0.9189,False,True
backward,onset2COWCS,treat_metal,iv_transport,0.0059,0.1897,0.9753,False,False
backward,onset2COWCS,treat_metal,iv_metal,-0.0131,0.025,0.6008,True,True
backward,onset2COWCS,treat_metal,iv_metal,-0.0063,0.0244,0.7968,True,False
backward,onset2COWCS,treat_metal,iv_metal,-0.0064,0.026,0.8065,False,True
backward,onset2COWCS,treat_metal,iv_metal,-0.0079,0.0258,0.7606,False,False
backward,onset2COWCS,treat_mine,iv_transport,0.3283,4.113,0.9364,True,True
backward,onset2COWCS,treat_mine,iv_transport,-0.4372,3.2058,0.8915,True,False
backward,onset2COWCS,treat_mine,iv_transport,-0.065,0.3503,0.8527,False,True
backward,onset2COWCS,treat_mine,iv_transport,0.0161,0.4418,0.9709,False,False
backward,onset2COWCS,treat_mine,iv_mine,0.0007,0.0283,0.9801,True,True
backward,onset2COWCS,treat_mine,iv_mine,-0.0001,0.0293,0.9986,True,False
backward,onset2COWCS,treat_mine,iv_mine,0.0006,0.0294,0.984,False,True
backward,onset2COWCS,treat_mine,iv_mine,0.0008,0.0296,0.9773,False,False
