country,t,onset2COWCS,milexp_pergdpSIPRI,oilreserves,decade,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,treat_agri,treat_mine,treat_fuel,treat_metal,iv_transport,iv_agri,iv_mine,iv_fuel,iv_metal
ABW,1991,0.0,,,7.0,,,,0.004107,0.003889,,0.0,,,-0.0055420846,,-0.0051513723781816,0.0049951613935744,-0.001363973631195,0.0895034817723263,-0.0103460096821876,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895
AFG,1991,,,,7.0,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,0.00013718009,0.00013718195,-0.006785229,-0.01317566,0.0004124779926956,0.000512352555466,0.0002499631830277,0.0036572942729655,0.0011484059328827,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895
AGO,1991,,1.3,4.26853,7.0,0.0035,0.022721259,0.007867,0.0062760003,0.00787,0.0,0.0,0.00023844093,0.0002384428,-0.00549379,-0.029494645,0.0003257791244458,-7.860541259100675e-05,0.0002956903142048,0.0056304826531289,0.0011935356598773,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895
ALB,1991,0.0,,0.0,7.0,0.0055,,0.002204,0.004719,0.000399,0.0,0.0,0.0001327768,0.00013276935,-0.0021132082,-0.31608972,0.0002732257654905,0.0006015004349348,0.0018103927501227,0.0172659340327238,0.0016913710236896,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895
AND,1991,0.0,,,7.0,,,0.007139,0.002326,0.0068480005,,0.0,,,-0.0021132082,,-0.000281782524215,-0.0030390086843903,0.0067170658247549,0.0015531280540001,-4.7206804722787696e-05,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895
ANT,1991,0.0,,0.0,7.0,,,,0.0038659999,0.0025080002,,0.0,,,-0.0055420846,,-0.0093650930934341,-0.0093676130164458,1.673008372513845,-0.0016724485799059,-0.0064280653347632,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895
ARE,1991,0.0,6.3,48.780537,7.0,0.001,-0.095670156,0.0062519996,0.00331,0.004874,0.01,1.0,0.00058715045,0.00058714487,-0.006785229,-0.057182312,-0.0030755849799266,-0.0020119346206196,-0.0023178791192818,-0.0218637186793266,-0.0058902625712153,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895
ARG,1991,0.0,1.3,6.385329,7.0,0.0085,0.03346389,0.0025499999,0.002236,0.000618,0.0,0.0,0.00014066696,0.00014067069,-0.0055420846,0.07150562,0.0001584537961375,0.0005398131374555,0.0010358020230171,0.0085555552309463,0.0006305178595121,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895
ARM,1991,0.0,,0.0,7.0,0.0085,,0.001272,0.004576,0.0012909999,0.0,0.0,0.00017815083,0.00017814711,-0.006785229,-0.17994289,-1.455883174783236e-07,-1.5716389854758075e-05,-1.3439697069904894e-07,-1.0482776548939198e-06,-4.628924590567639e-06,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895
ATG,1991,0.0,,0.0,7.0,,,0.0016429999,0.00684,0.001063,0.01,0.0,,,-0.0055420846,,0.0004535632534277,0.0015536527673756,-5.1251171668254686e-05,0.0002584167442034,0.0002792179364253,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895
