country,t,onset2COWCS,milexp_pergdpSIPRI,decade,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,treat_agri,treat_mine,treat_fuel,treat_metal,iv_transport,iv_agri,iv_mine,iv_fuel,iv_metal
ABW,1991,0.0,,7.0,,,,0.004107,0.003889,,0.0,,,-0.0055420846,,0.0050128719382435,-0.005746130714174,0.0020512000651001,-0.063026838257906,0.0018120221187986,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
AFG,1991,,,7.0,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,0.00013718009,0.00013718195,-0.006785229,-0.01317566,0.0041808815672987,0.0008273324623777,5.661815897837954e-05,-1.0243948087316828e-05,0.0001766284693386,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
AGO,1991,,1.3,7.0,0.0035,0.022721259,0.007867,0.0062760003,0.00787,0.0,0.0,0.00023844093,0.0002384428,-0.00549379,-0.029494645,-0.0013510346176689,-0.0029749120759268,-0.0009336567889733,-0.000488795711725,-0.0022938878379089,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
ALB,1991,0.0,,7.0,0.0055,,0.002204,0.004719,0.000399,0.0,0.0,0.0001327768,0.00013276935,-0.0021132082,-0.31608972,-0.0041484935902927,-0.0070794657154326,-0.0013811912383606,-0.0001493250439025,-0.0051842538236381,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
AND,1991,0.0,,7.0,,,0.007139,0.002326,0.0068480005,,0.0,,,-0.0021132082,,-0.0008661762098296,-0.0010594392253446,0.0008505032140066,0.0003004400745852,-0.0007170096983757,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
ANT,1991,0.0,,7.0,,,,0.0038659999,0.0025080002,,0.0,,,-0.0055420846,,-0.001012111901719,-0.0010113739933151,0.5469196312208705,0.0088306354036854,0.0016917132663965,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
ARE,1991,0.0,6.3,7.0,0.001,-0.095670156,0.0062519996,0.00331,0.004874,0.01,1.0,0.00058715045,0.00058714487,-0.006785229,-0.057182312,-0.00550583175735,-0.0065541291467534,-0.0088012831567549,-0.0009044713851713,-0.0144160375294979,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
ARG,1991,0.0,1.3,7.0,0.0085,0.03346389,0.0025499999,0.002236,0.000618,0.0,0.0,0.00014066696,0.00014067069,-0.0055420846,0.07150562,-0.0044173230889131,0.0039507356597721,-0.0011283155086921,-0.0005229382843933,-0.0026939328800512,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
ARM,1991,0.0,,7.0,0.0085,,0.001272,0.004576,0.0012909999,0.0,0.0,0.00017815083,0.00017814711,-0.006785229,-0.17994289,-4.946159517688557e-07,-1.9499445850221265e-05,3.8658066857593073e-07,1.6450777769952445e-07,7.897762533081144e-06,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
ATG,1991,0.0,,7.0,,,0.0016429999,0.00684,0.001063,0.01,0.0,,,-0.0055420846,,-7.819995862675191e-05,-0.0021534171051834,-0.0005401452248301,-0.0002424145070765,6.030570945406849e-05,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599
