country,t,onset2COWCS,milexp_pergdpSIPRI,oilreserves,decade,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,treat_agri,treat_mine,treat_fuel,treat_metal,iv_transport,iv_agri,iv_mine,iv_fuel,iv_metal
ABW,1991,0.0,,,7.0,,,,0.004107,0.003889,,0.0,,,-0.0055420846,,-0.0362314126591034,0.0249541736737419,0.0096495106826419,0.3770695757946756,-0.0094804110061095,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386
AFG,1991,,,,7.0,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,0.00013718009,0.00013718195,-0.006785229,-0.01317566,0.0031786040833721,0.0036549435276096,0.0028995913202369,0.0039873132973153,0.0027691924813794,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386
AGO,1991,,1.3,4.26853,7.0,0.0035,0.022721259,0.007867,0.0062760003,0.00787,0.0,0.0,0.00023844093,0.0002384428,-0.00549379,-0.029494645,0.0005776795026459,-0.0022420075287005,0.0023305419291464,0.0043808817692385,-0.0006377498611784,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386
ALB,1991,0.0,,0.0,7.0,0.0055,,0.002204,0.004719,0.000399,0.0,0.0,0.0001327768,0.00013276935,-0.0021132082,-0.31608972,-0.0015111630322794,0.0064217709775407,0.0109974083617155,0.0102760531209983,0.0008519904501955,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386
AND,1991,0.0,,,7.0,,,0.007139,0.002326,0.0068480005,,0.0,,,-0.0021132082,,-0.0019048068656945,-0.0232385001028877,0.0030717836747069,0.002617078871682,-0.0006936417441742,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386
ANT,1991,0.0,,0.0,7.0,,,,0.0038659999,0.0025080002,,0.0,,,-0.0055420846,,0.0048914288113997,0.0048882646209881,-2.291810395132604,0.003389928823139,-0.0042577507181927,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386
ARE,1991,0.0,6.3,48.780537,7.0,0.001,-0.095670156,0.0062519996,0.00331,0.004874,0.01,1.0,0.00058715045,0.00058714487,-0.006785229,-0.057182312,0.0079380993618575,0.0065528087139972,0.0014961407846853,0.0199052625827466,0.0080239505186442,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386
ARG,1991,0.0,1.3,6.385329,7.0,0.0085,0.03346389,0.0025499999,0.002236,0.000618,0.0,0.0,0.00014066696,0.00014067069,-0.0055420846,0.07150562,-0.001628031857744,-0.0090077231295154,0.0011236679648853,0.002939472810941,-0.0009736496789451,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386
ARM,1991,0.0,,0.0,7.0,0.0085,,0.001272,0.004576,0.0012909999,0.0,0.0,0.00017815083,0.00017814711,-0.006785229,-0.17994289,-0.0044899669826522,-0.0409739278976504,-0.0229397014377037,-0.0334740590203205,-0.0310982835171161,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386
ATG,1991,0.0,,0.0,7.0,,,0.0016429999,0.00684,0.001063,0.01,0.0,,,-0.0055420846,,0.0021684256606647,-0.002299909623954,0.0030487544213142,-0.0034314521254403,0.0014165458784202,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386
