gvc_type,outcome,treatment,instrument,tau_hat,std_hat,p_val,fixed_effects,stationary_controls
forward,onset2COWCS,treat_fuel,iv_transport,0.016,0.1288,0.9008,True,True
forward,onset2COWCS,treat_fuel,iv_transport,0.0128,0.1901,0.9465,True,False
forward,onset2COWCS,treat_fuel,iv_transport,0.0613,0.1838,0.7389,False,True
forward,onset2COWCS,treat_fuel,iv_transport,-0.0006,0.193,0.9975,False,False
forward,onset2COWCS,treat_fuel,iv_fuel,0.0711,0.0727,0.3285,True,True
forward,onset2COWCS,treat_fuel,iv_fuel,0.0646,0.0709,0.3622,True,False
forward,onset2COWCS,treat_fuel,iv_fuel,0.0666,0.0767,0.3855,False,True
forward,onset2COWCS,treat_fuel,iv_fuel,0.0686,0.0732,0.3486,False,False
forward,onset2COWCS,treat_agri,iv_transport,0.3703,0.2843,0.1927,True,True
forward,onset2COWCS,treat_agri,iv_transport,0.3128,0.2343,0.1817,True,False
forward,onset2COWCS,treat_agri,iv_transport,0.246,0.2017,0.2226,False,True
forward,onset2COWCS,treat_agri,iv_transport,0.2749,0.2533,0.2778,False,False
forward,onset2COWCS,treat_agri,iv_agri,0.0163,0.0262,0.5356,True,True
forward,onset2COWCS,treat_agri,iv_agri,0.0145,0.0256,0.572,True,False
forward,onset2COWCS,treat_agri,iv_agri,0.0228,0.0287,0.428,False,True
forward,onset2COWCS,treat_agri,iv_agri,0.0244,0.029,0.3999,False,False
forward,onset2COWCS,treat_metal,iv_transport,0.2046,0.1389,0.1407,True,True
forward,onset2COWCS,treat_metal,iv_transport,0.1989,0.12,0.0974,True,False
forward,onset2COWCS,treat_metal,iv_transport,0.3128,0.1886,0.0971,False,True
forward,onset2COWCS,treat_metal,iv_transport,0.3508,0.2207,0.112,False,False
forward,onset2COWCS,treat_metal,iv_metal,0.0629,0.1309,0.6309,True,True
forward,onset2COWCS,treat_metal,iv_metal,0.1104,0.1407,0.4326,True,False
forward,onset2COWCS,treat_metal,iv_metal,0.126,0.1685,0.4546,False,True
forward,onset2COWCS,treat_metal,iv_metal,0.0823,0.1122,0.4634,False,False
forward,onset2COWCS,treat_mine,iv_transport,0.4814,1.5531,0.7566,True,True
forward,onset2COWCS,treat_mine,iv_transport,1.0715,5.6948,0.8508,True,False
forward,onset2COWCS,treat_mine,iv_transport,0.4245,0.9328,0.6491,False,True
forward,onset2COWCS,treat_mine,iv_transport,0.5794,1.5915,0.7158,False,False
forward,onset2COWCS,treat_mine,iv_mine,0.0018,0.0388,0.9634,True,True
forward,onset2COWCS,treat_mine,iv_mine,0.0033,0.0387,0.9315,True,False
forward,onset2COWCS,treat_mine,iv_mine,-0.0019,0.0411,0.9629,False,True
forward,onset2COWCS,treat_mine,iv_mine,0.0004,0.0412,0.9917,False,False
