gvc_type,outcome,treatment,instrument,tau_hat,std_hat,p_val,fixed_effects,stationary_controls
mix,onset2COWCS,treat_fuel,iv_transport,-0.0631,0.2474,0.7985,True,True
mix,onset2COWCS,treat_fuel,iv_transport,-0.0775,0.2757,0.7787,True,False
mix,onset2COWCS,treat_fuel,iv_transport,-0.1041,0.1684,0.5366,False,True
mix,onset2COWCS,treat_fuel,iv_transport,-0.1262,0.2353,0.5918,False,False
mix,onset2COWCS,treat_fuel,iv_fuel,-0.1038,0.0869,0.2322,True,True
mix,onset2COWCS,treat_fuel,iv_fuel,-0.0965,0.0871,0.2675,True,False
mix,onset2COWCS,treat_fuel,iv_fuel,-0.1017,0.0872,0.2436,False,True
mix,onset2COWCS,treat_fuel,iv_fuel,-0.1036,0.0885,0.2418,False,False
mix,onset2COWCS,treat_agri,iv_transport,0.0423,0.1219,0.7285,True,True
mix,onset2COWCS,treat_agri,iv_transport,0.0432,0.123,0.7254,True,False
mix,onset2COWCS,treat_agri,iv_transport,0.0413,0.1238,0.7389,False,True
mix,onset2COWCS,treat_agri,iv_transport,0.086,0.2297,0.7082,False,False
mix,onset2COWCS,treat_agri,iv_agri,0.002,0.0278,0.9423,True,True
mix,onset2COWCS,treat_agri,iv_agri,0.0067,0.0315,0.831,True,False
mix,onset2COWCS,treat_agri,iv_agri,0.0012,0.0299,0.9673,False,True
mix,onset2COWCS,treat_agri,iv_agri,0.0049,0.032,0.8772,False,False
mix,onset2COWCS,treat_metal,iv_transport,-0.1283,1.6247,0.9371,True,True
mix,onset2COWCS,treat_metal,iv_transport,-0.0416,0.8232,0.9597,True,False
mix,onset2COWCS,treat_metal,iv_transport,0.1233,0.8981,0.8908,False,True
mix,onset2COWCS,treat_metal,iv_transport,-0.1377,0.496,0.7813,False,False
mix,onset2COWCS,treat_metal,iv_metal,-0.0779,0.0474,0.1002,True,True
mix,onset2COWCS,treat_metal,iv_metal,-0.0871,0.0482,0.0709,True,False
mix,onset2COWCS,treat_metal,iv_metal,-0.0859,0.0496,0.0837,False,True
mix,onset2COWCS,treat_metal,iv_metal,-0.0785,0.05,0.1166,False,False
mix,onset2COWCS,treat_mine,iv_transport,0.1547,0.623,0.8039,True,True
mix,onset2COWCS,treat_mine,iv_transport,0.1485,0.9678,0.878,True,False
mix,onset2COWCS,treat_mine,iv_transport,0.0097,0.6017,0.9872,False,True
mix,onset2COWCS,treat_mine,iv_transport,0.0387,0.2257,0.8638,False,False
mix,onset2COWCS,treat_mine,iv_mine,-0.0563,0.0814,0.4896,True,True
mix,onset2COWCS,treat_mine,iv_mine,-0.0665,0.0908,0.4641,True,False
mix,onset2COWCS,treat_mine,iv_mine,-0.0656,0.0866,0.4492,False,True
mix,onset2COWCS,treat_mine,iv_mine,-0.0674,0.0897,0.4527,False,False
