country,t,onset2COWCS,decade,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,oilreserves_full,oilreserves,oilreserves_public,treat_agri,treat_mine,treat_fuel,treat_metal,iv_transport,iv_agri,iv_mine,iv_fuel,iv_metal
ABW,1991,0.0,7.0,,,,0.004107,0.003889,,0.0,,,-0.0055420846,,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
AFG,1991,,7.0,0.001,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,0.00013718009,0.00013718195,-0.006785229,-0.01317566,,,,1.0,,,,,0.0,0.0,1.0,0.0
AGO,1991,,7.0,0.0035,0.022721259,0.007867,0.0062760003,0.00787,0.0,0.0,0.00023844093,0.0002384428,-0.00549379,-0.029494645,4.26853,4.26853,1.7617999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALB,1991,0.0,7.0,0.0055,,0.002204,0.004719,0.000399,0.0,0.0,0.0001327768,0.00013276935,-0.0021132082,-0.31608972,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AND,1991,0.0,7.0,,,0.007139,0.002326,0.0068480005,,0.0,,,-0.0021132082,,,,,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
ANT,1991,0.0,7.0,,,,0.0038659999,0.0025080002,,0.0,,,-0.0055420846,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
ARE,1991,0.0,7.0,0.001,-0.095670156,0.0062519996,0.00331,0.004874,0.01,1.0,0.00058715045,0.00058714487,-0.006785229,-0.057182312,48.780537,48.780537,98.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ARG,1991,0.0,7.0,0.0085,0.03346389,0.0025499999,0.002236,0.000618,0.0,0.0,0.00014066696,0.00014067069,-0.0055420846,0.07150562,6.385329,6.385329,1.9816333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ARM,1991,0.0,7.0,0.0085,,0.001272,0.004576,0.0012909999,0.0,0.0,0.00017815083,0.00017814711,-0.006785229,-0.17994289,0.0,0.0,0.0,,,,,,0.0,0.0,1.0,0.0
ATG,1991,0.0,7.0,,,0.0016429999,0.00684,0.001063,0.01,0.0,,,-0.0055420846,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0
AUS,1991,0.0,7.0,0.01,0.007419373,0.00092900003,0.008211,0.003349,0.01,0.0,0.00014404207,0.00014403928,-0.00530684,-0.031692594,5.2919383,5.2919383,2.3964179,,,,,0.0,0.0,0.0,1.0,0.0
AUT,1991,0.0,7.0,0.01,0.040271357,0.001068,0.0041460004,0.001522,0.0,0.0,0.00012286007,0.00012286007,-0.0021132082,-0.0058295205,0.0,0.0,0.081443,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
AZE,1991,1.0,7.0,0.0035,0.032425925,0.002047,0.004899,0.002054,0.0,0.0,0.00021865219,0.00021865591,-0.006785229,-0.07156679,13.323008,13.323008,,,1.0,,,1.0,0.0,0.0,1.0,0.0
BDI,1991,1.0,7.0,0.0015,0.04310799,0.0029510001,0.005158,0.0029769999,0.0,0.0,0.00023617595,0.00023617223,-0.00549379,0.018985786,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,1.0,0.0
BEL,1991,0.0,7.0,0.01,-0.095670156,0.005554,0.002127,0.005409,0.0,0.0,3.5226345e-05,3.522262e-05,-0.0021132082,-0.005028772,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0
BEN,1991,0.0,7.0,0.008,-0.095670156,0.007871999,0.0055440003,0.007905,0.0,0.0,0.00031302124,0.00031302124,-0.00549379,0.009892043,100000.0,,0.1,,0.0,,0.0,,0.0,0.0,1.0,0.0
BFA,1991,0.0,7.0,0.0025,-0.095670156,0.007377,0.005798,0.007228,0.0,0.0,0.00033079088,0.00033079833,-0.00549379,0.049520146,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0
BGD,1991,0.0,7.0,0.008,-0.095670156,0.00045400002,0.00209,0.000925,0.01,0.0,0.00022824854,0.00022824854,-0.006785229,-0.0037731938,500.0,,0.0005,,1.0,,,,0.0,0.0,1.0,0.0
BGR,1991,0.0,7.0,0.009,0.03010621,0.004021,0.005965,0.0030309998,0.0,0.0,-0.00013773888,-0.00013773143,-0.0021132082,-0.09436564,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
BHR,1991,0.0,7.0,0.0,-0.095670156,0.005021,0.005528,0.004344,0.01,0.0,0.00029061362,0.0002906099,-0.006785229,-0.006351847,0.3413536,0.3413536,0.09746,,1.0,1.0,,0.0,0.0,0.0,1.0,0.0
BHS,1991,0.0,7.0,,-0.095670156,0.004228,0.006815,0.0018549999,0.01,0.0,,,-0.0055420846,,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0
